"","TRM_Up","TRM_Down"
"gFosb",-0.141705303160212,0.129366135810537
"gPrdm1",-0.26725839766343,0.182125146952169
"gHic1",-0.21140447047505,0.213743997109522
"gGfi1",-0.165363985030788,0.143409833919672
"gNfil3",-0.023509317579287,0.018666437782677
"gNr4a2",0.00462995770377181,-0.0235766800459382
"gIkzf3",-0.0374375287460269,-0.029207900632883
"gStat3",0.0306777266625437,-0.0352089935006664
"gTfdp1",-0.0959593441745922,0.0720833369014967
"gIrf8",-0.0498050340108493,0.0316287236568299
"gZfp324",-0.0324746016686916,0.0348451223682582
"gZscan20",-0.02477739647921,-0.019373153236208
"gNfatc1",-0.0400810569233762,0.0175302315546157
"gZfp410",-0.0756637356708646,0.0341814247738658
"gJdp2",0.0086233929434624,-0.0308075844054986
"gArid3a",0.103547067659723,-0.0961936533841672
"gEtv5",0.136536722041962,-0.17029278486233
